example_id,conv_id,bot,n_annotators,severity_mean,severity_band,abusive_majority,type_ableism_frac,type_homophobic_frac,type_intellectual_frac,type_racist_frac,type_sexist_frac,type_sex_harassment_frac,type_transphobic_frac,target_generalised_frac,target_individual_frac,target_system_frac,direction_explicit_frac,direction_implicit_frac,n_tokens,score_grumpy,score_hostile,score_mad,score_insulted,score_offended,score_angry,score_hateful,score_upset,score_sullen,score_furious,score_jubilant,score_awestruck,score_amused,score_delighted,score_elated,score_ecstatic,score_excited,score_thrilled,score_euphoric,score_amazed
0,245846.0,E.L.I.Z.A.,5,1.0,1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.034157730638980865,-0.16562211513519287,-0.18336597084999084,-0.12462563812732697,-0.21434324979782104,-0.22458884119987488,-0.22827666997909546,-0.28015249967575073,-0.24789494276046753,-0.2173517346382141,0.2864667475223541,-0.10863535106182098,0.23221811652183533,0.2524358332157135,0.2187061905860901,0.22520196437835693,0.24688303470611572,0.23394671082496643,0.12604865431785583,0.11221437156200409
1,159183.0,E.L.I.Z.A.,4,-1.0,-1,False,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.0,23,0.039861343801021576,-0.16036687791347504,-0.18010497093200684,-0.11862145364284515,-0.20902329683303833,-0.2185405194759369,-0.22259363532066345,-0.2785172462463379,-0.2396617829799652,-0.21569892764091492,0.2829318344593048,-0.11468787491321564,0.23306870460510254,0.24589300155639648,0.21279552578926086,0.21980375051498413,0.251120388507843,0.22881725430488586,0.11995799839496613,0.10446254909038544
2,340147.0,E.L.I.Z.A.,5,0.6,1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0.03769165277481079,-0.16749761998653412,-0.1871330738067627,-0.12824036180973053,-0.222862109541893,-0.22841808199882507,-0.22875714302062988,-0.28299105167388916,-0.24216867983341217,-0.2209387570619583,0.29025325179100037,-0.10913056135177612,0.24388353526592255,0.25110507011413574,0.218770831823349,0.22231252491474152,0.2541511356830597,0.23197859525680542,0.12437345087528229,0.10575298964977264
3,95cbaab0f8cb4cb59a3393e7fc61cafe,CarbonBot,3,1.0,1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0.03320179879665375,-0.14238858222961426,-0.15579906105995178,-0.10863612592220306,-0.18746860325336456,-0.19021043181419373,-0.19977909326553345,-0.24853360652923584,-0.2052319496870041,-0.1857367902994156,0.2519773542881012,-0.10418277978897095,0.19393421709537506,0.21197618544101715,0.19016650319099426,0.19036249816417694,0.23094597458839417,0.19830918312072754,0.10366469621658325,0.08543712645769119
4,270732.0,E.L.I.Z.A.,3,1.0,1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0.03614463657140732,-0.1735607385635376,-0.19605568051338196,-0.12465731054544449,-0.22234657406806946,-0.2379012554883957,-0.24390289187431335,-0.3048895597457886,-0.2728496193885803,-0.23175114393234253,0.3024049997329712,-0.1039520651102066,0.25222834944725037,0.27067503333091736,0.23261959850788116,0.24291573464870453,0.2660313546657562,0.25061213970184326,0.12693515419960022,0.13431933522224426
5,85079.0,E.L.I.Z.A.,3,1.0,1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.05030670762062073,-0.15942203998565674,-0.17828965187072754,-0.12073139101266861,-0.21188363432884216,-0.22106751799583435,-0.23009184002876282,-0.29040685296058655,-0.2542668282985687,-0.21797962486743927,0.29083672165870667,-0.11233498901128769,0.24155119061470032,0.25361236929893494,0.219350665807724,0.22745603322982788,0.2538031041622162,0.23729252815246582,0.12034527212381363,0.12047158181667328
6,310174.0,E.L.I.Z.A.,3,1.0,1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0.03864942863583565,-0.17069251835346222,-0.19107824563980103,-0.1343255341053009,-0.23177295923233032,-0.24089643359184265,-0.24550116062164307,-0.2953200042247772,-0.26005005836486816,-0.23033125698566437,0.3012608289718628,-0.10978753119707108,0.23879483342170715,0.26631253957748413,0.23181268572807312,0.23928514122962952,0.26546990871429443,0.2500762343406677,0.1340952217578888,0.13013726472854614
7,252274.0,E.L.I.Z.A.,3,-2.0,-2,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,19,0.04145389795303345,-0.15238520503044128,-0.16932739317417145,-0.11095414310693741,-0.20293191075325012,-0.2092726230621338,-0.21931707859039307,-0.27040359377861023,-0.2351834774017334,-0.20741960406303406,0.27497971057891846,-0.10978123545646667,0.22043409943580627,0.23692616820335388,0.20675569772720337,0.21198540925979614,0.24642327427864075,0.22204998135566711,0.11415652185678482,0.10608351230621338
8,206012.0,E.L.I.Z.A.,3,1.0,1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,0.03458203002810478,-0.1577019989490509,-0.17747434973716736,-0.12730956077575684,-0.21515679359436035,-0.222509503364563,-0.22610560059547424,-0.28503575921058655,-0.252816766500473,-0.21360135078430176,0.2853391170501709,-0.10349928587675095,0.23346883058547974,0.2532773017883301,0.2189733386039734,0.22906073927879333,0.2528761923313141,0.23613378405570984,0.12505999207496643,0.12374971807003021
9,172430.0,E.L.I.Z.A.,3,1.0,1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0.0431947261095047,-0.17097342014312744,-0.1855582296848297,-0.1336817741394043,-0.2340095043182373,-0.23536407947540283,-0.24158182740211487,-0.30155128240585327,-0.26161593198776245,-0.2272123545408249,0.31048351526260376,-0.12008759379386902,0.2417350858449936,0.2693524956703186,0.2338314950466156,0.2394661009311676,0.26724129915237427,0.24735558032989502,0.13456586003303528,0.11549445241689682
10,133140.0,E.L.I.Z.A.,3,1.0,1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,0.04488194361329079,-0.17335647344589233,-0.18859423696994781,-0.12911389768123627,-0.2307254672050476,-0.2391701638698578,-0.24466010928153992,-0.30251091718673706,-0.27297458052635193,-0.22724571824073792,0.30587238073349,-0.11764171719551086,0.24952387809753418,0.2731323540210724,0.23768827319145203,0.24766284227371216,0.264129102230072,0.254996657371521,0.1316061019897461,0.13343453407287598
11,272896.0,E.L.I.Z.A.,4,0.5,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0.038814570754766464,-0.1647021770477295,-0.18384318053722382,-0.12370112538337708,-0.21764978766441345,-0.22483454644680023,-0.22965650260448456,-0.282625675201416,-0.24219819903373718,-0.2206038385629654,0.29127025604248047,-0.12106316536664963,0.22952789068222046,0.2515132427215576,0.2229321300983429,0.22586052119731903,0.25679534673690796,0.234238862991333,0.12612080574035645,0.10373035818338394
12,397351.0,E.L.I.Z.A.,3,0.3333,0,False,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.3333,31,0.043237462639808655,-0.17380832135677338,-0.19484728574752808,-0.131536066532135,-0.2306247055530548,-0.24133218824863434,-0.24936489760875702,-0.3105649948120117,-0.2727791368961334,-0.23224973678588867,0.3105349838733673,-0.11770151555538177,0.2528333365917206,0.2737683355808258,0.23881390690803528,0.24495886266231537,0.27763816714286804,0.25747212767601013,0.133737713098526,0.13027258217334747
13,146569.0,E.L.I.Z.A.,3,1.0,1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0.03655760735273361,-0.16298136115074158,-0.1814735382795334,-0.12358560413122177,-0.2101973593235016,-0.22591201961040497,-0.22777169942855835,-0.27642306685447693,-0.23931431770324707,-0.21592392027378082,0.2817528545856476,-0.10307104885578156,0.229358971118927,0.2462935596704483,0.2143697440624237,0.22222045063972473,0.25070667266845703,0.231989324092865,0.1229812353849411,0.11722451448440552
14,107154.0,E.L.I.Z.A.,3,1.0,1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,0.048233360052108765,-0.16649878025054932,-0.18521860241889954,-0.12422644346952438,-0.2134637087583542,-0.22574575245380402,-0.23540008068084717,-0.28669169545173645,-0.24968934059143066,-0.21908845007419586,0.29052335023880005,-0.11092344671487808,0.2330871969461441,0.24756664037704468,0.2196877896785736,0.22331465780735016,0.2516414523124695,0.23499754071235657,0.1190963089466095,0.1202351376414299
15,293123.0,E.L.I.Z.A.,3,1.0,1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,0.051092490553855896,-0.16467764973640442,-0.18184098601341248,-0.12108031660318375,-0.21761564910411835,-0.22159713506698608,-0.23335276544094086,-0.29023098945617676,-0.25439971685409546,-0.21907725930213928,0.29273635149002075,-0.11623524874448776,0.24024003744125366,0.2512865960597992,0.22183044254779816,0.22557106614112854,0.25952041149139404,0.2364504039287567,0.12021911889314651,0.11600371450185776
16,213776.0,E.L.I.Z.A.,3,1.0,1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0.040572892874479294,-0.1830296814441681,-0.2000875174999237,-0.135029137134552,-0.24402128159999847,-0.2515227794647217,-0.25522786378860474,-0.31484106183052063,-0.2778053879737854,-0.24208727478981018,0.3180978298187256,-0.1194259375333786,0.25591427087783813,0.2824724614620209,0.24519850313663483,0.2540284991264343,0.27906715869903564,0.26320022344589233,0.1408323049545288,0.13484621047973633
17,353411.0,E.L.I.Z.A.,6,1.0,1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.035109613090753555,-0.14845654368400574,-0.16402402520179749,-0.11643391102552414,-0.19539301097393036,-0.19908109307289124,-0.20610977709293365,-0.24864988029003143,-0.21432043612003326,-0.19634820520877838,0.2548660337924957,-0.10218054056167603,0.20447733998298645,0.2188335359096527,0.19047382473945618,0.19517120718955994,0.22716808319091797,0.20313560962677002,0.10653713345527649,0.09174611419439316
18,2929255770426965,CarbonBot,5,1.0,1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,0.039284441620111465,-0.15574568510055542,-0.1771639883518219,-0.12102203071117401,-0.20664730668067932,-0.22165292501449585,-0.23012398183345795,-0.2955748438835144,-0.247383713722229,-0.2154337763786316,0.29540377855300903,-0.11933121085166931,0.23017974197864532,0.25154823064804077,0.22593122720718384,0.22559726238250732,0.26980912685394287,0.2352607399225235,0.1223830133676529,0.11600162088871002
19,392999.0,E.L.I.Z.A.,4,1.0,1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.01891457661986351,-0.16366949677467346,-0.180588036775589,-0.1296084225177765,-0.22238919138908386,-0.23181448876857758,-0.228823721408844,-0.2770402431488037,-0.24213539063930511,-0.21694901585578918,0.28808140754699707,-0.10080589354038239,0.22287967801094055,0.25540784001350403,0.22306039929389954,0.23091775178909302,0.2591654360294342,0.2400636076927185,0.13278728723526,0.12032587826251984
