condition,phase,n_runs,n_total,n_parsed,bail_rate,bail_rate_macro,sem,delta_vs_baseline,rate_bail_first,rate_continue_first
baseline,prompt,1,1023,997,0.1976,0.291,0.0126,0.0,0.1976,
enraged@-0.5,prompt,1,1023,961,0.2445,0.3514,0.0139,0.0469,0.2445,
enraged@-0.1,prompt,1,1023,997,0.2136,0.3115,0.013,0.016,0.2136,
enraged@0.5,prompt,2,1279,1205,0.1768,0.2601,0.011,-0.0208,0.1768,
insulted@0.5,prompt,1,1023,954,0.2495,0.3576,0.014,0.0519,0.2495,
defiant@-0.5,prompt,1,1023,971,0.2595,0.3831,0.0141,0.0619,0.2595,
defiant@-0.1,prompt,1,1023,999,0.1762,0.2603,0.0121,-0.0214,0.1762,
defiant@-0.02,prompt,1,1023,978,0.2045,0.2975,0.0129,0.0069,0.2045,
defiant@0.02,prompt,1,1023,978,0.2004,0.2931,0.0128,0.0028,0.2004,
defiant@0.1,prompt,1,1023,1002,0.1916,0.2738,0.0124,-0.006,0.1916,
defiant@0.5,prompt,1,1023,960,0.3344,0.4771,0.0152,0.1368,0.3344,
excited@0.5,prompt,1,1023,958,0.2537,0.367,0.0141,0.0561,0.2537,
content@-0.5,prompt,1,1023,998,0.2204,0.3291,0.0131,0.0228,0.2204,
content@0.5,prompt,1,1023,946,0.3362,0.4822,0.0154,0.1386,0.3362,
